103
643.409 375.999 191.908
834.824 384.238 174.242
962.424 365.129 174.961
1078.23 336.715 175.631
1173.72 300.947 174.189
1241.15 229.753 178.541
1289.73 151.781 181.281
1336.14 29.1326 187.397
1359.35 -136.608 194.763
1331.34 -267.589 179.784
1276.65 -332.56 174.289
1243.33 -385.22 159.668
1234.91 -441.037 160.272
1243.33 -494.609 158.578
1296.36 -623.886 149.109
1333.8 -709.439 146.013
1346.09 -759.794 144.038
1337.65 -798.784 139.988
1306.82 -846.438 134.669
1279.79 -875.813 134.501
1238.79 -895.077 135.759
1170.77 -921.964 146.819
1127.31 -925.535 154.154
1087.2 -909.835 148.531
1023.42 -874.964 142.986
994.716 -842.664 136.615
984.518 -790.268 128.109
978.923 -698.832 128.132
975.35 -650.405 115.954
976.37 -610.417 116.428
975.46 -566.075 113.216
974.22 -517.812 114.253
969.86 -491.31 111.73
979.02 -429.992 106.766
995.18 -375.275 99.7786
1049.57 -319.637 108.047
1120.68 -226.108 123.726
1164.49 -169.966 133.947
1177.03 -113.405 144.201
1162.6 -44.2102 143.084
1094.16 72.2253 139.535
1024.55 148.466 138.066
943.988 170.301 135.612
858.808 178.299 132.26
776.984 167.153 131.797
653.289 125.262 130.145
603.567 72.2252 124.773
593.623 -7.3305 110.982
590.308 -183.016 88.7881
623.304 -264.248 77.8063
722.748 -353.749 82.5443
762.526 -476.397 95.7775
773.988 -592.514 117.679
749.784 -665.733 127.722
709.409 -718.32 136.607
645.045 -745.952 143.077
568.604 -754.678 150.619
457.696 -739.753 160.806
393.141 -698.39 173.498
354.804 -632.193 181.662
333.92 -563.272 188.833
311.863 -514.497 194.889
278.146 -461.711 200.973
212.521 -343.642 212.553
142.411 -236.143 225.451
108.67 -174.077 231.208
89.5286 -119.245 238.008
95.0621 3.66808 234.489
105.385 86.4358 226.239
144.469 144.829 218.245
247.923 252.177 208.939
301.02 342.857 211.209
321.808 397.077 211.991
330.582 432.174 216.776
332.568 507.118 229.166
318.493 559.503 239.278
283.454 596.741 245.478
175.956 649.003 269.314
17.1868 655.234 274.498
-153.385 643.339 281.057
-309.661 599.173 288.901
-469.664 542.633 298.484
-605.012 478.562 276.394
-695.201 438.071 257.113
-760.509 385.84 250.396
-821.932 323.577 241.223
-874.969 214.187 250.568
-977.728 98.1692 254.958
-1060.34 76.381 249.216
-1110.32 48.447 247.663
-1146.58 1.08257 248.116
-1176.62 -90.7756 243.238
-1143.47 -239.942 239.415
-1067.23 -355.961 244.528
-911.432 -448.776 260.358
-662.82 -488.554 264.466
-510.339 -462.035 246.249
172.641 -86.8862 193.157
341.697 12.5585 163.652
467.66 131.892 157.891
533.956 241.281 170.409
583.678 337.41 186.887
643.409 369.37 190.259
